date_forecast,date_scraped,location,precipitation_mm,precipitation_percent,temp_max_celsius,temp_min_celsius,weather_forecast,website_scraped
29.4,2021-04-28 11:05:41,Fribourg,8,70,12,9,Regenschauer,meteotest
30.4,2021-04-28 11:05:41,Fribourg,7,60,11,6,Regenschauer,meteotest
1.5,2021-04-28 11:05:41,Fribourg,15,60,12,6,Regenschauer,meteotest
2.5,2021-04-28 11:05:42,Fribourg,26,80,10,6,starker Regen,meteotest
28.4,2021-04-28 11:05:50,Jungfraujoch,1,80,-4,-8,Schneeschauer,meteotest
29.4,2021-04-28 11:05:50,Jungfraujoch,6,90,-4,-8,Schneeschauer,meteotest
30.4,2021-04-28 11:05:50,Jungfraujoch,4,70,-4,-8,Schneeschauer,meteotest
1.5,2021-04-28 11:05:50,Jungfraujoch,15,80,-4,-8,Schneefall,meteotest
2.5,2021-04-28 11:05:51,Jungfraujoch,26,80,-7,-9,Schneefall,meteotest
29.4,2021-04-29 11:06:52,Bern,10,60,14,9,starker Regen,meteotest
30.4,2021-04-29 11:06:53,Bern,7,60,12,7,Regenschauer,meteotest
1.5,2021-04-29 11:06:53,Bern,21,60,13,7,Regenschauer,meteotest
2.5,2021-04-29 11:06:53,Bern,27,80,10,7,starker Regen,meteotest
3.5,2021-04-29 11:06:53,Bern,<0.1,60,14,3,leicht bewölkt,meteotest
29.4,2021-04-29 11:07:06,Zuerich,10,60,14,9,starker Regen,meteotest
30.4,2021-04-29 11:07:06,Zuerich,7,60,12,7,Regenschauer,meteotest
1.5,2021-04-29 11:07:06,Zuerich,21,60,13,7,Regenschauer,meteotest
2.5,2021-04-29 11:07:06,Zuerich,27,80,10,7,starker Regen,meteotest
3.5,2021-04-29 11:07:07,Zuerich,<0.1,60,14,3,leicht bewölkt,meteotest
29.4,2021-04-29 11:07:15,Luzern,11,70,14,10,starker Regen,meteotest
30.4,2021-04-29 11:07:15,Luzern,4,70,12,7,Regenschauer,meteotest
1.5,2021-04-29 11:07:15,Luzern,13,60,13,8,Regenschauer,meteotest
2.5,2021-04-29 11:07:15,Luzern,34,80,9,7,starker Regen,meteotest
3.5,2021-04-29 11:07:15,Luzern,2,60,14,4,Regenschauer,meteotest
29.4,2021-04-29 11:07:24,Fribourg,7,80,12,9,starker Regen,meteotest
30.4,2021-04-29 11:07:24,Fribourg,7,80,11,6,Regenschauer,meteotest
1.5,2021-04-29 11:07:24,Fribourg,17,60,12,6,Regenschauer,meteotest
2.5,2021-04-29 11:07:24,Fribourg,23,80,9,6,starker Regen,meteotest
3.5,2021-04-29 11:07:25,Fribourg,<0.1,70,13,2,leicht bewölkt,meteotest
29.4,2021-04-29 11:07:35,Jungfraujoch,6,90,-4,-8,Schneeschauer,meteotest
30.4,2021-04-29 11:07:35,Jungfraujoch,3,90,-4,-8,Schneeschauer,meteotest
1.5,2021-04-29 11:07:35,Jungfraujoch,19,80,-3,-8,Schneeschauer,meteotest
2.5,2021-04-29 11:07:35,Jungfraujoch,26,80,-7,-10,Schneeschauer,meteotest
3.5,2021-04-29 11:07:36,Jungfraujoch,1,60,-9,-14,Schneeschauer,meteotest
30.4,2021-04-30 11:08:15,Bern,5,80,11,8,Regenschauer,meteotest
1.5,2021-04-30 11:08:16,Bern,30,70,11,7,starker Regen,meteotest
2.5,2021-04-30 11:08:16,Bern,20,80,10,5,starker Regen,meteotest
3.5,2021-04-30 11:08:16,Bern,<0.1,80,14,3,stark bewölkt,meteotest
4.5,2021-04-30 11:08:16,Bern,4,40,14,3,Regenschauer,meteotest
